GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,461.11,1194.31,1548.03,133.65,75.95,-79.97,-1011.37,-9337.6,522.83,7790.53,-6832.06,69.23,1297.45,-6762.83,-5465.37
11,518.06,1202.36,1551.13,135.87,78.57,-83.83,-1009.16,-9165.49,529.35,7756.05,-6983.72,70.61,1512.91,-6913.12,-5400.2
21,542.14,1157.74,1571.58,133.96,73.5,-71.96,-1001.36,-9026.85,517.83,7777.02,-7165.19,70.75,1673.6,-7094.44,-5420.83
31,524.04,1181.16,1551.8,131.34,80.23,-82.2,-1008.49,-9215.49,504.9,7808.62,-6982.74,70.57,1475.91,-6912.16,-5436.25
41,516.43,1195.98,1552.64,133.36,72.1,-77.27,-1042.44,-8988.12,504.7,7807.15,-7191.77,69.58,1674.53,-7122.18,-5447.66
51,564.17,1154.15,1587.85,134.64,79.57,-81.45,-1025.24,-8984.45,510.11,7798.44,-7184.98,69.45,1737.79,-7115.52,-5377.73
61,535.43,1267.28,1552.13,146.62,68.67,-84.38,-1016.06,-9133.69,513.73,7776.04,-7021.23,69.81,1625.77,-6951.42,-5325.65
71,520.82,1217.31,1589.18,140.83,75.5,-77.38,-1019.75,-9226.44,494.09,7792.22,-6950.58,70.89,1506.38,-6879.69,-5373.31
81,511.59,1182.6,1570.54,134.92,88.56,-80.0,-981.16,-9175.25,515.02,7767.45,-7003.03,70.86,1534.27,-6932.17,-5397.9
91,512.83,1270.91,1552.01,138.06,78.56,-81.55,-1028.1,-9246.19,513.43,7749.86,-6902.08,70.19,1459.83,-6831.89,-5372.06
101,503.36,1189.26,1555.77,140.77,84.56,-75.29,-1001.46,-9204.98,506.08,7753.28,-6965.15,69.8,1451.33,-6895.35,-5444.02
111,544.79,1182.39,1550.71,137.87,67.11,-81.19,-964.0,-9144.92,494.4,7759.91,-7023.38,71.37,1547.08,-6952.01,-5404.93
121,503.8,1200.33,1581.95,133.66,81.05,-85.1,-994.97,-9207.74,504.65,7761.22,-6955.41,71.53,1478.84,-6883.88,-5405.04
131,494.85,1200.21,1564.08,138.36,79.87,-87.75,-997.52,-9120.89,536.89,7753.8,-7025.1,70.21,1561.91,-6954.89,-5392.98
141,499.65,1176.02,1572.34,144.86,70.3,-74.05,-1017.36,-9166.07,523.36,7811.43,-7018.78,69.36,1540.48,-6949.42,-5408.94
151,513.33,1228.77,1559.49,140.11,77.16,-83.53,-992.86,-9179.33,510.69,7762.57,-6974.66,71.75,1536.4,-6902.91,-5366.51
