GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,494.84,1149.52,1548.7,134.01,83.4,-70.16,-965.6,-9092.73,510.97,7799.0,-7091.62,73.68,1591.96,-7017.94,-5425.97
11,478.35,1186.94,1562.78,135.69,85.0,-68.3,-998.53,-9034.91,510.91,7798.77,-7138.03,71.72,1656.71,-7066.31,-5409.6
21,478.67,1184.89,1559.03,135.55,75.48,-53.17,-1027.67,-9082.2,517.19,7827.94,-7107.62,72.22,1615.68,-7035.39,-5419.71
31,524.86,1167.69,1565.15,142.14,77.71,-68.74,-1021.23,-9063.87,503.47,7799.29,-7131.18,72.27,1626.47,-7058.91,-5432.44
41,501.52,1170.26,1553.37,138.24,73.35,-57.96,-990.49,-8965.2,517.09,7724.73,-7180.8,72.58,1664.92,-7108.22,-5443.31
51,489.96,1194.81,1540.08,134.07,79.42,-68.46,-1003.87,-9011.32,514.94,7785.44,-7176.71,73.07,1655.07,-7103.63,-5448.56
61,515.74,1160.8,1554.83,137.16,81.41,-64.17,-1022.32,-9021.18,503.01,7803.01,-7161.94,72.13,1648.29,-7089.8,-5441.52
71,457.89,1193.77,1540.06,138.46,81.84,-59.22,-999.82,-9033.49,506.76,7838.62,-7187.03,72.98,1664.87,-7114.05,-5449.19
81,508.96,1181.41,1529.93,137.91,87.5,-52.43,-994.62,-8982.97,510.89,7732.84,-7176.0,73.9,1659.42,-7102.09,-5442.67
91,492.54,1206.44,1560.81,140.11,87.04,-67.84,-1011.27,-9009.77,512.44,7792.25,-7181.69,73.16,1702.75,-7108.52,-5405.77
101,477.17,1211.18,1569.36,146.23,72.79,-64.57,-1020.83,-8981.73,527.22,7801.65,-7188.27,71.32,1738.47,-7116.95,-5378.48
111,517.26,1194.83,1538.67,134.35,82.44,-64.35,-984.9,-9020.61,513.07,7790.2,-7157.88,71.76,1700.96,-7086.12,-5385.16
121,489.85,1171.96,1530.08,141.06,76.24,-57.56,-1033.54,-8943.61,524.81,7785.07,-7220.47,72.14,1684.36,-7148.32,-5463.96
