GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,503.48,1180.77,1527.51,134.93,74.68,-42.73,-1020.89,-9356.53,510.85,7732.52,-1725.22,70.36,1244.59,-1654.86,-410.27
11,513.09,1158.32,1525.39,136.22,76.72,-67.76,-1029.12,-9349.39,504.19,7796.71,-1749.31,70.96,1264.36,-1678.35,-413.98
21,529.85,1179.52,1552.85,136.6,80.81,-68.05,-997.98,-9345.67,501.28,7754.24,-1765.22,70.95,1323.45,-1694.27,-370.82
31,506.84,1162.2,1552.82,132.34,77.66,-67.28,-1000.04,-9382.48,517.96,7808.49,-1729.9,70.16,1308.51,-1659.74,-351.23
41,524.89,1162.69,1544.52,132.96,76.29,-38.8,-1010.54,-9270.95,522.08,7769.65,-1815.58,70.67,1412.78,-1744.9,-332.12
51,503.54,1230.58,1557.27,134.73,69.36,-46.43,-1011.87,-9306.22,501.89,7747.43,-1772.36,71.31,1380.27,-1701.05,-320.78
61,484.7,1182.48,1533.92,131.05,77.04,-56.04,-1003.81,-9282.26,527.45,7798.99,-1831.43,71.74,1393.53,-1759.69,-366.16
71,528.27,1184.88,1531.87,130.25,69.03,-73.04,-1011.04,-9278.96,490.98,7744.5,-1816.81,70.6,1316.75,-1746.21,-429.46
81,527.06,1171.79,1529.44,141.09,72.98,-52.57,-1025.74,-9312.94,502.44,7821.56,-1793.21,70.95,1375.11,-1722.26,-347.15
91,500.01,1204.57,1536.56,132.36,77.92,-76.4,-1000.88,-9313.75,505.6,7804.9,-1797.27,71.99,1370.89,-1725.28,-354.39
101,507.74,1156.16,1567.95,140.12,85.65,-68.88,-1018.06,-9286.25,510.5,7829.77,-1841.41,73.23,1424.7,-1768.19,-343.48
111,469.87,1144.67,1542.95,130.36,74.85,-78.58,-1021.43,-9259.14,514.26,7858.68,-1884.93,71.55,1376.49,-1813.38,-436.89
121,484.04,1214.57,1519.76,127.56,69.78,-74.65,-997.62,-9232.35,532.0,7772.65,-1863.75,71.89,1415.75,-1791.87,-376.12
131,530.07,1255.13,1542.02,145.06,69.7,-75.91,-995.05,-9159.75,500.22,7754.64,-1920.86,74.91,1566.13,-1845.95,-279.83
141,477.61,1160.03,1550.94,129.88,77.71,-68.36,-1020.17,-9166.75,505.75,7831.77,-1935.88,72.4,1478.4,-1863.48,-385.08
151,482.45,1225.26,1506.64,135.09,77.53,-64.73,-1007.17,-9134.48,507.4,7748.43,-1945.94,72.86,1476.43,-1873.08,-396.65
