GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,503.62,1196.89,1568.15,138.09,87.43,-55.36,-1011.07,-9392.04,533.32,7770.69,-1724.15,66.78,1339.72,-1657.38,-317.66
11,535.9,1137.17,1614.9,132.58,74.5,-61.62,-1008.39,-9368.76,524.81,7787.97,-1768.49,70.1,1369.06,-1698.39,-329.34
21,527.89,1214.61,1567.87,135.86,79.96,-68.61,-1006.17,-9294.07,513.58,7806.48,-1846.3,70.81,1477.4,-1775.49,-298.09
31,540.73,1258.29,1581.77,137.94,84.87,-81.58,-999.39,-9368.08,507.82,7755.84,-1757.48,69.01,1418.21,-1688.47,-270.25
41,533.7,1166.66,1556.99,133.85,69.57,-69.92,-994.93,-9346.99,507.61,7801.26,-1802.74,71.03,1357.8,-1731.72,-373.92
51,511.38,1185.75,1559.53,137.55,78.35,-76.24,-983.72,-9287.41,501.15,7842.16,-1866.23,73.34,1468.49,-1792.89,-324.4
61,528.84,1193.95,1555.81,145.72,72.1,-57.05,-972.01,-9393.5,512.44,7844.68,-1789.57,74.59,1430.98,-1714.98,-284.0
71,500.9,1211.48,1542.9,137.25,73.8,-70.47,-1004.62,-9319.98,501.83,7813.7,-1810.33,71.19,1386.79,-1739.14,-352.35
81,528.86,1214.98,1575.41,140.28,79.07,-67.62,-1001.75,-9340.02,513.59,7765.33,-1776.17,70.91,1408.12,-1705.26,-297.13
91,501.01,1164.68,1554.85,143.3,70.28,-56.27,-978.01,-9364.72,493.84,7792.36,-1764.83,71.87,1321.32,-1692.96,-371.64
101,501.12,1175.17,1544.32,134.47,86.75,-57.73,-980.19,-9362.36,514.25,7857.37,-1804.26,71.72,1413.18,-1732.55,-319.37
111,513.09,1253.01,1536.58,138.62,78.3,-75.11,-1005.26,-9302.55,514.93,7801.4,-1823.35,71.84,1453.03,-1751.52,-298.48
121,520.54,1181.07,1539.57,137.08,78.07,-65.39,-1004.28,-9372.48,502.77,7825.52,-1765.62,70.38,1342.46,-1695.24,-352.78
131,526.54,1199.67,1535.97,135.48,70.23,-55.17,-981.55,-9352.2,501.84,7785.73,-1796.06,72.9,1366.55,-1723.16,-356.62
141,512.02,1235.77,1542.78,142.71,86.84,-44.6,-1002.08,-9243.66,499.05,7747.2,-1845.71,72.05,1476.03,-1773.66,-297.63
151,507.47,1170.56,1560.64,136.67,71.8,-72.12,-993.47,-9346.53,519.38,7801.42,-1800.79,72.05,1355.82,-1728.74,-372.91
161,508.36,1207.44,1534.37,137.61,85.46,-59.45,-1008.88,-9303.46,506.14,7833.21,-1826.64,71.61,1440.8,-1755.03,-314.24
171,500.05,1186.6,1554.98,132.48,72.71,-66.93,-977.57,-9389.29,513.56,7817.29,-1765.59,72.04,1343.86,-1693.55,-349.69
181,496.76,1166.85,1551.51,141.15,71.76,-52.37,-996.96,-9421.0,522.75,7885.71,-1785.27,71.37,1366.17,-1713.9,-347.73
191,498.35,1179.64,1581.43,132.43,72.56,-82.34,-986.72,-9492.18,527.7,7840.62,-1681.71,70.84,1271.49,-1610.87,-339.38
201,534.13,1185.01,1549.14,126.59,74.42,-63.62,-1008.15,-9384.43,500.65,7832.83,-1770.89,71.15,1346.57,-1699.74,-353.16
211,526.34,1175.13,1569.21,133.49,73.12,-68.55,-998.29,-9453.37,519.0,7864.88,-1712.89,70.48,1340.96,-1642.4,-301.44
221,535.81,1220.03,1562.87,136.72,76.09,-84.24,-1009.96,-9433.07,501.99,7756.74,-1675.39,69.99,1262.98,-1605.4,-342.42
231,482.24,1228.98,1561.05,141.68,73.36,-68.71,-1013.75,-9336.38,521.37,7755.0,-1770.93,70.23,1344.84,-1700.71,-355.86
241,524.22,1205.45,1564.85,138.45,65.34,-65.42,-1046.88,-9409.7,511.06,7753.0,-1678.04,68.65,1240.36,-1609.39,-369.03
251,513.19,1233.47,1539.51,138.31,80.75,-68.45,-1013.53,-9365.96,504.25,7815.6,-1745.49,70.45,1377.15,-1675.04,-297.89
261,493.92,1161.58,1554.22,128.36,71.68,-64.84,-1022.41,-9343.78,514.71,7846.85,-1800.27,71.68,1340.29,-1728.59,-388.3
271,502.11,1191.88,1551.19,137.3,78.27,-75.68,-983.83,-9306.11,512.99,7750.68,-1780.26,71.36,1358.81,-1708.9,-350.1
281,511.18,1213.02,1561.58,133.15,75.88,-61.64,-1000.01,-9315.81,508.81,7792.53,-1809.51,71.91,1418.7,-1737.61,-318.91
