GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,573.29,1373.43,1731.33,156.32,87.92,-71.49,-1123.17,-10033.4,555.65,8572.85,-2294.42,75.75,1822.71,-2218.67,-395.96
11,533.4,1359.51,1749.7,157.22,77.9,-68.4,-1121.56,-9997.67,574.29,8598.84,-2311.76,76.59,1863.23,-2235.17,-371.93
21,574.95,1334.9,1728.98,152.76,86.15,-63.81,-1129.12,-9965.72,556.22,8568.05,-2347.51,76.85,1843.36,-2270.66,-427.3
31,560.28,1320.29,1719.72,155.78,88.38,-49.81,-1142.17,-10013.5,559.7,8556.57,-2291.65,76.71,1755.23,-2214.94,-459.71
41,556.48,1399.33,1752.1,150.88,79.87,-69.9,-1117.53,-10003.95,563.55,8568.24,-2316.53,76.38,1879.08,-2240.15,-361.07
51,554.66,1326.45,1734.07,153.25,94.37,-56.88,-1148.27,-10058.78,553.36,8640.4,-2298.82,76.68,1792.62,-2222.14,-429.51
61,583.58,1313.2,1727.42,155.14,86.5,-58.6,-1146.56,-10014.9,549.09,8599.74,-2322.86,75.87,1794.6,-2246.99,-452.39
71,561.68,1346.67,1737.21,163.66,79.7,-56.78,-1144.94,-10008.06,557.55,8603.89,-2311.04,77.16,1840.58,-2233.88,-393.3
81,578.46,1320.22,1732.95,158.21,84.32,-63.35,-1119.69,-9943.98,561.38,8527.64,-2330.04,77.97,1836.15,-2252.07,-415.91
91,564.57,1313.87,1711.05,155.27,76.21,-61.94,-1155.2,-10042.06,547.63,8600.1,-2293.47,76.06,1709.51,-2217.41,-507.9
101,565.43,1278.38,1728.0,141.04,79.55,-60.26,-1136.93,-10070.39,560.97,8628.55,-2300.61,76.78,1714.33,-2223.83,-509.5
111,568.17,1298.58,1752.09,151.48,88.5,-69.28,-1149.62,-10076.37,556.09,8637.8,-2287.25,76.75,1757.44,-2210.5,-453.06
121,549.65,1293.78,1724.31,148.87,92.33,-50.11,-1131.35,-10068.44,561.36,8645.54,-2311.26,77.59,1765.94,-2233.67,-467.72
131,525.92,1291.22,1733.3,146.24,86.0,-47.95,-1142.22,-10013.72,565.86,8609.79,-2324.65,78.03,1754.45,-2246.62,-492.17
141,569.73,1309.32,1729.57,147.42,89.09,-55.27,-1124.95,-9953.77,547.85,8573.31,-2360.3,79.36,1832.31,-2280.94,-448.63
151,530.75,1320.52,1719.77,147.4,91.43,-51.7,-1127.17,-9956.83,558.29,8564.71,-2364.99,78.23,1797.16,-2286.76,-489.6
161,595.45,1328.18,1755.08,160.63,85.51,-54.99,-1145.1,-10007.25,549.95,8622.22,-2343.64,77.13,1889.68,-2266.5,-376.82
171,549.04,1314.91,1713.49,147.89,83.56,-40.59,-1121.2,-10138.91,573.02,8686.82,-2285.01,77.39,1768.03,-2207.62,-439.59
181,541.49,1336.09,1746.98,146.23,94.47,-51.51,-1148.12,-9999.9,568.4,8566.1,-2304.83,75.24,1800.24,-2229.59,-429.34
191,521.15,1253.69,1715.1,147.58,87.87,-39.67,-1146.28,-10038.26,572.53,8614.06,-2294.13,76.23,1687.77,-2217.89,-530.12
201,580.38,1336.02,1735.33,156.87,86.93,-54.27,-1135.02,-10019.39,534.27,8561.0,-2278.42,75.03,1782.14,-2203.38,-421.25
211,576.99,1309.6,1734.27,154.27,82.43,-64.32,-1140.28,-9984.04,539.84,8573.22,-2298.17,75.48,1781.98,-2222.69,-440.71
221,538.06,1325.71,1755.66,148.83,82.0,-59.32,-1156.25,-10091.69,545.74,8651.49,-2272.8,77.03,1740.22,-2195.78,-455.55
231,566.84,1350.33,1738.09,159.2,84.38,-56.21,-1169.01,-10020.08,557.06,8574.94,-2268.36,75.03,1785.55,-2193.33,-407.78
241,562.54,1334.06,1725.07,163.71,91.8,-58.7,-1144.8,-10084.83,557.31,8592.54,-2263.94,75.46,1738.7,-2188.48,-449.78
251,520.61,1310.44,1733.02,156.0,86.82,-52.66,-1154.79,-10021.62,546.72,8639.17,-2341.75,75.16,1763.74,-2266.59,-502.85
261,558.71,1323.5,1754.84,144.28,88.65,-67.34,-1136.91,-9940.68,541.34,8564.41,-2361.3,78.23,1830.8,-2283.08,-452.28
271,554.09,1341.14,1732.41,156.43,92.27,-67.54,-1154.54,-10042.8,535.99,8634.72,-2297.86,74.34,1782.18,-2223.52,-441.34
281,588.36,1288.0,1733.15,143.47,81.99,-53.37,-1141.3,-10026.41,570.22,8604.29,-2317.53,75.64,1788.39,-2241.88,-453.49
291,536.52,1324.04,1717.02,148.53,84.55,-58.02,-1127.76,-10037.81,568.22,8611.82,-2294.83,77.16,1767.1,-2217.67,-450.57
301,564.78,1332.64,1734.1,158.56,78.36,-61.65,-1147.96,-10022.19,549.76,8594.57,-2303.93,76.95,1780.97,-2226.99,-446.02
311,564.34,1317.14,1738.33,160.75,74.02,-56.71,-1141.27,-10001.75,553.25,8608.75,-2339.59,76.08,1816.86,-2263.52,-446.66
321,551.93,1339.14,1735.13,152.85,81.06,-64.04,-1122.73,-9985.8,556.89,8608.66,-2365.96,77.87,1853.07,-2288.09,-435.03
331,547.83,1306.56,1747.29,157.07,92.85,-68.05,-1157.36,-10064.72,550.65,8617.34,-2266.73,76.03,1729.47,-2190.7,-461.23
341,541.47,1346.02,1720.08,155.41,93.58,-57.32,-1142.61,-10069.55,557.52,8592.68,-2273.62,76.63,1737.27,-2196.98,-459.72
351,574.18,1317.51,1733.74,159.05,76.62,-57.99,-1143.78,-10105.16,544.78,8614.16,-2255.85,77.84,1713.12,-2178.01,-464.88
361,569.23,1329.01,1761.51,160.62,78.73,-61.95,-1121.37,-10096.49,546.17,8618.01,-2267.32,78.25,1783.47,-2189.07,-405.59
371,576.98,1377.73,1739.53,163.81,93.77,-69.6,-1143.67,-10084.19,549.98,8646.68,-2303.75,77.24,1851.03,-2226.52,-375.49
381,551.87,1372.9,1714.93,161.05,79.24,-56.01,-1139.59,-10143.65,564.4,8640.52,-2230.37,76.85,1745.67,-2153.52,-407.85
391,533.32,1355.88,1715.56,158.14,78.31,-73.07,-1147.58,-10124.04,557.47,8659.27,-2264.53,77.07,1713.26,-2187.46,-474.2
