GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,568.16,1331.58,1790.61,151.15,92.7,-68.55,-1128.14,-10087.74,560.94,8661.63,-2327.37,80.87,1872.34,-2246.5,-374.16
11,581.44,1322.93,1763.61,145.76,109.55,-74.77,-1132.39,-10135.05,550.09,8663.86,-2266.93,78.95,1795.04,-2187.98,-392.94
21,557.95,1270.9,1734.8,146.4,81.68,-42.65,-1107.78,-10115.73,554.98,8671.79,-2275.99,80.21,1752.33,-2195.78,-443.45
31,533.13,1357.64,1732.28,156.03,91.12,-68.85,-1115.4,-10147.57,557.77,8664.43,-2247.5,79.6,1760.57,-2167.9,-407.33
41,540.95,1300.97,1742.93,152.4,84.36,-68.1,-1120.45,-10159.25,571.83,8698.6,-2271.44,77.63,1744.24,-2193.81,-449.57
51,581.44,1331.73,1725.03,159.36,101.43,-86.49,-1119.34,-10042.26,543.47,8704.39,-2352.17,80.04,1898.76,-2272.13,-373.36
61,575.87,1274.68,1748.3,150.41,90.75,-71.86,-1099.41,-10018.7,553.16,8662.24,-2373.54,80.74,1865.43,-2292.8,-427.36
71,598.82,1322.51,1745.99,149.04,86.58,-63.0,-1160.52,-10066.28,562.64,8653.32,-2300.96,78.73,1829.1,-2222.24,-393.14
81,549.21,1347.25,1755.21,147.28,98.09,-52.99,-1122.91,-10062.19,562.64,8646.62,-2345.41,79.29,1868.21,-2266.13,-397.91
91,559.25,1361.04,1748.71,139.03,86.51,-80.37,-1138.98,-10044.29,534.19,8585.97,-2293.88,79.79,1751.07,-2214.09,-463.02
101,570.91,1304.49,1751.46,142.71,83.21,-64.89,-1122.45,-10023.56,540.73,8647.54,-2351.66,79.29,1830.16,-2272.37,-442.21
111,576.14,1291.72,1720.05,155.63,89.6,-76.57,-1139.2,-10011.64,540.52,8702.91,-2391.57,78.36,1849.17,-2313.21,-464.05
121,547.74,1310.61,1733.87,150.05,77.99,-68.68,-1111.12,-10045.92,559.57,8661.53,-2368.86,78.96,1815.63,-2289.9,-474.27
131,562.41,1261.36,1739.14,144.19,93.01,-74.02,-1156.24,-10059.29,553.43,8701.75,-2338.58,78.19,1765.72,-2260.38,-494.67
141,562.76,1305.53,1727.15,147.58,88.34,-70.77,-1125.98,-9992.17,575.51,8676.96,-2385.26,79.39,1894.91,-2305.87,-410.95
151,550.15,1327.98,1751.33,162.52,79.25,-71.25,-1123.35,-10002.68,550.67,8641.06,-2374.96,80.33,1865.68,-2294.63,-428.96
161,559.17,1352.7,1749.14,158.61,93.97,-75.73,-1134.39,-10030.65,568.33,8637.16,-2336.92,78.82,1878.3,-2258.1,-379.8
171,561.98,1371.75,1728.45,155.68,78.25,-56.47,-1123.04,-10061.73,566.1,8676.34,-2340.04,79.61,1897.3,-2260.43,-363.13
