System,Metric,Replica,Mean,SD,Mean ± SD,Npoints in window,t_first(ns),t_last(ns),Source file
5FWJ_holo,Cα RMSD (nm),Rep 1,0.16374851785,0.022457774149464666,0.164 ± 0.022,4000,0.0,60.000004,rmsd_jmjc_CA_holo_rep1.xvg
5FWJ_holo,Cα RMSD (nm),Rep 2,0.123690215675,0.026324614589692777,0.124 ± 0.026,4000,0.0,60.000004,rmsd_jmjc_CA_holo_rep2.xvg
5FWJ_holo,Cα RMSD (nm),Rep 3,0.13381907414999997,0.014540278447959408,0.134 ± 0.015,4000,0.0,60.0000038,rmsd_jmjc_CA_holo_rep3.xvg
5FWJ_holo,Radius of gyration (Rg) (nm),Rep 1,1.6798497370657337,0.013966400162724405,1.680 ± 0.014,4001,0.0,60.0,rg_jmjc_holo_rep1.xvg
5FWJ_holo,Radius of gyration (Rg) (nm),Rep 2,1.6563798485378654,0.00973494222502391,1.656 ± 0.010,4001,0.0,60.0,rg_jmjc_holo_rep2.xvg
5FWJ_holo,Radius of gyration (Rg) (nm),Rep 3,1.6435696908272932,0.008439258856922115,1.644 ± 0.008,4001,0.0,60.0,rg_jmjc_holo_rep3.xvg
5FWJ_holo,SASA (nm$^2$),Rep 1,98.72520519870032,2.7506457888344995,98.725 ± 2.751,4001,0.0,60.0,sasa_total_holo_rep1.xvg
5FWJ_holo,SASA (nm$^2$),Rep 2,96.93023444138966,1.4932270592657682,96.930 ± 1.493,4001,0.0,60.0,sasa_total_holo_rep2.xvg
5FWJ_holo,SASA (nm$^2$),Rep 3,95.51003624093977,1.6355880252790633,95.510 ± 1.636,4001,0.0,60.0,sasa_total_holo_rep3.xvg
5FWJ_apo,Cα RMSD (nm),Rep 1,0.142530482525,0.016184409627013764,0.143 ± 0.016,4000,0.0,60.0000038,rmsd_jmjc_CA_apo_rep1.xvg
5FWJ_apo,Cα RMSD (nm),Rep 2,0.128613357925,0.012362740248561016,0.129 ± 0.012,4000,0.0,60.0000038,rmsd_jmjc_CA_apo_rep2.xvg
5FWJ_apo,Cα RMSD (nm),Rep 3,0.20308869715,0.02068282388228378,0.203 ± 0.021,4000,0.0,60.0000038,rmsd_jmjc_CA_apo_rep3.xvg
5FWJ_apo,Radius of gyration (Rg) (nm),Rep 1,1.652797767308173,0.012174036283751213,1.653 ± 0.012,4001,0.0,60.0,rg_jmjc_apo_rep1.xvg
5FWJ_apo,Radius of gyration (Rg) (nm),Rep 2,1.6464762601849536,0.009057096277921357,1.646 ± 0.009,4001,0.0,60.0,rg_jmjc_apo_rep2.xvg
5FWJ_apo,Radius of gyration (Rg) (nm),Rep 3,1.6792727633091726,0.011271940927440735,1.679 ± 0.011,4001,0.0,60.0,rg_jmjc_apo_rep3.xvg
5FWJ_apo,SASA (nm$^2$),Rep 1,96.15568407898026,1.4984072265805977,96.156 ± 1.498,4001,0.0,60.0,sasa_total_apo_rep1.xvg
5FWJ_apo,SASA (nm$^2$),Rep 2,94.84993851537115,1.665426012231914,94.850 ± 1.665,4001,0.0,60.0,sasa_total_apo_rep2.xvg
5FWJ_apo,SASA (nm$^2$),Rep 3,98.24106223444139,1.379514970877774,98.241 ± 1.380,4001,0.0,60.0,sasa_total_apo_rep3.xvg
PAF,Cα RMSD (nm),Rep 1,0.17014336237499997,0.017849695648548,0.170 ± 0.018,4000,0.0,60.0000038,rmsd_jmjc_CA_PAF_rep1.xvg
PAF,Cα RMSD (nm),Rep 2,0.10988822634999999,0.0158620618056551,0.110 ± 0.016,4000,0.0,60.0000038,rmsd_jmjc_CA_PAF_rep2.xvg
PAF,Cα RMSD (nm),Rep 3,0.12214828355,0.014183096580943827,0.122 ± 0.014,4000,0.0,60.0000038,rmsd_jmjc_CA_PAF_rep3.xvg
PAF,Radius of gyration (Rg) (nm),Rep 1,1.7310815046238441,0.007884252229256818,1.731 ± 0.008,4001,0.0,60.0,rg_jmjc_PAF_rep1.xvg
PAF,Radius of gyration (Rg) (nm),Rep 2,1.6956366598350412,0.008387819686993089,1.696 ± 0.008,4001,0.0,60.0,rg_jmjc_PAF_rep2.xvg
PAF,Radius of gyration (Rg) (nm),Rep 3,1.7158648305423645,0.008074104158591026,1.716 ± 0.008,4001,0.0,60.0,rg_jmjc_PAF_rep3.xvg
PAF,SASA (nm$^2$),Rep 1,105.99992726818296,1.2018517963787216,106.000 ± 1.202,4001,0.0,60.0,sasa_total_PAF_rep1.xvg
PAF,SASA (nm$^2$),Rep 2,103.01520919770056,1.5365080827888218,103.015 ± 1.537,4001,0.0,60.0,sasa_total_PAF_rep2.xvg
PAF,SASA (nm$^2$),Rep 3,104.45875381154711,1.3328195716698092,104.459 ± 1.333,4001,0.0,60.0,sasa_total_PAF_rep3.xvg
CAF,Cα RMSD (nm),Rep 1,0.11711676315,0.018160484978962974,0.117 ± 0.018,4000,0.0,60.000004,rmsd_jmjc_CA_CAF_rep1.xvg
CAF,Cα RMSD (nm),Rep 2,0.1477008938,0.010572690699273869,0.148 ± 0.011,4000,0.0,60.000004,rmsd_jmjc_CA_CAF_rep2.xvg
CAF,Cα RMSD (nm),Rep 3,0.14796917404999999,0.015777740357693342,0.148 ± 0.016,4000,0.0,60.0000038,rmsd_jmjc_CA_CAF_rep3.xvg
CAF,Radius of gyration (Rg) (nm),Rep 1,1.6973236178455386,0.008004378502243099,1.697 ± 0.008,4001,0.0,60.0,rg_jmjc_CAF_rep1.xvg
CAF,Radius of gyration (Rg) (nm),Rep 2,1.7353953136715823,0.007357840670627187,1.735 ± 0.007,4001,0.0,60.0,rg_jmjc_CAF_rep2.xvg
CAF,Radius of gyration (Rg) (nm),Rep 3,1.701395515371157,0.007709777716207268,1.701 ± 0.008,4001,0.0,60.0,rg_jmjc_CAF_rep3.xvg
CAF,SASA (nm$^2$),Rep 1,102.18423319170208,1.3969424857015538,102.184 ± 1.397,4001,0.0,60.0,sasa_total_CAF_rep1.xvg
