System,Metric,"Rep 1 (20–60 ns, mean ± SD)","Rep 2 (20–60 ns, mean ± SD)","Rep 3 (20–60 ns, mean ± SD)",Replica-average of means (mean ± SD)
5FWJ metal-retained,Cα RMSD (nm),0.164 ± 0.022,0.124 ± 0.026,0.134 ± 0.015,0.140 ± 0.021
5FWJ metal-retained,Radius of gyration (Rg) (nm),1.680 ± 0.014,1.656 ± 0.010,1.644 ± 0.008,1.660 ± 0.018
5FWJ metal-retained,SASA (nm$^2$),98.725 ± 2.751,96.930 ± 1.493,95.510 ± 1.636,97.055 ± 1.611
5FWJ metal-depleted,Cα RMSD (nm),0.143 ± 0.016,0.129 ± 0.012,0.203 ± 0.021,0.158 ± 0.040
5FWJ metal-depleted,Radius of gyration (Rg) (nm),1.653 ± 0.012,1.646 ± 0.009,1.679 ± 0.011,1.660 ± 0.017
5FWJ metal-depleted,SASA (nm$^2$),96.156 ± 1.498,94.850 ± 1.665,98.241 ± 1.380,96.416 ± 1.710
PAF,Cα RMSD (nm),0.170 ± 0.018,0.110 ± 0.016,0.122 ± 0.014,0.134 ± 0.032
PAF,Radius of gyration (Rg) (nm),1.731 ± 0.008,1.696 ± 0.008,1.716 ± 0.008,1.714 ± 0.018
PAF,SASA (nm$^2$),106.000 ± 1.202,103.015 ± 1.537,104.459 ± 1.333,104.491 ± 1.493
CAF,Cα RMSD (nm),0.117 ± 0.018,0.148 ± 0.011,0.148 ± 0.016,0.138 ± 0.018
CAF,Radius of gyration (Rg) (nm),1.697 ± 0.008,1.735 ± 0.007,1.701 ± 0.008,1.711 ± 0.021
CAF,SASA (nm$^2$),102.184 ± 1.397,106.067 ± 1.377,104.477 ± 1.269,104.243 ± 1.952
