System,Metric,Rep 1 (20–60 ns mean),Rep 2 (20–60 ns mean),Rep 3 (20–60 ns mean),Replica-avg (mean ± SD)
5FWJ_holo,Pocket RMSD (nm),0.144726713075,0.081245346,0.07868927980000001,0.102 ± 0.037
5FWJ_apo,Pocket RMSD (nm),0.12835543405,0.1282074179,0.14800265085,0.135 ± 0.011
PAF,Pocket RMSD (nm),0.083592257725,0.08103761839999998,0.07587185954999999,0.080 ± 0.004
CAF,Pocket RMSD (nm),0.107815539475,0.09722839917500001,0.0897921396,0.098 ± 0.009
5FWJ_holo,Pocket Rg (nm),0.9768392199450137,0.9500532236940765,0.940275752311922,0.956 ± 0.019
5FWJ_apo,Pocket Rg (nm),0.94419924043989,0.9287451927018245,0.9451405746063484,0.939 ± 0.009
PAF,Pocket Rg (nm),0.9384161392151962,0.9251115896025993,0.9270853919020245,0.930 ± 0.007
CAF,Pocket Rg (nm),0.9309802231942015,0.9559832839290178,0.9315462359410147,0.940 ± 0.014
5FWJ_holo,Pocket SASA (nm^2),98.72520519870032,96.93023444138966,95.51003624093977,97.055 ± 1.611
5FWJ_apo,Pocket SASA (nm^2),96.15568407898026,94.84993851537115,98.24106223444139,96.416 ± 1.710
PAF,Pocket SASA (nm^2),105.99992726818296,103.01520919770056,104.45875381154711,104.491 ± 1.493
CAF,Pocket SASA (nm^2),102.18423319170208,106.06691202199451,104.47710947263185,104.243 ± 1.952
